key	english	french	russian	bulgarian
Conversations/Festival Lines/Caldarus/harvest_festival/harvest_festival_place_follow_up/1	Congratulations!	Toutes mes félicitations !	Поздравляю!	Congratulations!
Conversations/Festival Lines/Caldarus/harvest_festival/harvest_festival_place_follow_up/2	With my claws, I suspect I would not have much luck with such a delicate task.	Je suppose que mes griffes m'auraient handicapé pour une tâche aussi délicate.	Подозреваю, столь деликатная задача была бы мне не по плечу с моими когтями.	With my claws, I suspect I would not have much luck with such a delicate task.
Conversations/Festival Lines/Caldarus/harvest_festival/harvest_festival_place_follow_up/init	You have won an award for berry-picking?	Tu as reçu une récompense pour avoir cueilli beaucoup de baies ?	Ты <p>получили</p><f>получила</f><m>получил</m><n>получило</n> награду за сбор ягод?	You have won an award for berry-picking?
Conversations/Festival Lines/Caldarus/harvest_festival/harvest_festival_second_place/1	I can see I have much practice to do before I can match your foraging skill.	Je vois que j'ai encore beaucoup de chemin à parcourir pour arriver à ton niveau en matière de récolte.	Теперь я вижу, что мне нужно ещё много учиться, чтобы собирать травы, как ты.	I can see I have much practice to do before I can match your foraging skill.
Conversations/Festival Lines/Caldarus/harvest_festival/harvest_festival_second_place/init	Second place! You must have worked hard, [Ari].	La deuxième place ! Tu as dû travailler d'arrache-pied, [Ari].	Второе место! Должно быть, ты очень <p>постарались</p><f>постаралась</f><m>постарался</m><n>постаралось</n>, [Ari]!	Second place! You must have worked hard, [Ari].
Conversations/Festival Lines/Caldarus/harvest_festival/harvest_festival_third_place/1	I can see I have much practice to do before I can match your foraging skill.	Je vois que j'ai encore beaucoup de chemin à parcourir pour arriver à ton niveau en matière de récolte.	Теперь я вижу, что мне нужно ещё много учиться, чтобы собирать травы, как ты.	I can see I have much practice to do before I can match your foraging skill.
Conversations/Festival Lines/Caldarus/harvest_festival/harvest_festival_third_place/init	Third place! You must have worked hard, [Ari].	La troisième place ! Tu as dû travailler d'arrache-pied, [Ari].	Третье место! Должно быть, ты очень <p>постарались</p><f>постаралась</f><m>постарался</m><n>постаралось</n>, [Ari]!	Third place! You must have worked hard, [Ari].
Conversations/Festival Lines/Caldarus/shooting_star/shooting_star_8h_follow_up/1	I look forward to repeating the ceremony in the years to come.	J'ai hâte de renouveler cette cérémonie dans les années à venir.	Я бы хотел продолжить эту церемонию в грядущие года.	I look forward to repeating the ceremony in the years to come.
Conversations/Festival Lines/Caldarus/shooting_star/shooting_star_8h_follow_up/init	I truly enjoyed our $Starbinding$ last night, [Ari].	J'ai vraiment apprécié notre $lien céleste$ hier soir, [Ari].	$Сплетение звёздами$ с тобой было поистине приятным, [Ari].	I truly enjoyed our $Starbinding$ last night, [Ari].
Conversations/Festival Lines/Caldarus/shooting_star/shooting_star_anticipation_statue/1	A meteor shower returns to the skies every year around this time.	Une pluie d'étoiles filantes revient dans le ciel chaque année à peu près à cette période.	Каждый год в это время в небеса возвращается поток метеоров.	A meteor shower returns to the skies every year around this time.
Conversations/Festival Lines/Caldarus/shooting_star/shooting_star_anticipation_statue/2	It's a rare constant, looking back over the years.	C'est une rare constante, quand je repense aux années qui se sont écoulées.	За прошедшие годы это одна из немногих постоянных вещей.	It's a rare constant, looking back over the years.
Conversations/Festival Lines/Caldarus/shooting_star/shooting_star_anticipation_statue/3	I look forward to viewing it once more.	J'ai hâte de les admirer une fois encore.	Я жду, когда снова смогу на них посмотреть.	I look forward to viewing it once more.
Conversations/Festival Lines/Caldarus/shooting_star/shooting_star_anticipation_statue/init	You feel compelled to talk to Caldarus' Statue.	Quelque chose vous pousse à parler à la statue de Caldarus.	У вас появилось желание поговорить со статуей Кальдаруса.	You feel compelled to talk to Caldarus' Statue.
Conversations/Festival Lines/Caldarus/shooting_star/shooting_star_caldarus_statue/1	[Ari]... Were you not going to watch the stars with someone tonight?	[Ari]... Ne devais-tu pas aller contempler les étoiles avec quelqu'un, ce soir ?	[Ari]... Я думал, ты собираешься сегодня с кем-то посмотреть на звездопад.	[Ari]... Were you not going to watch the stars with someone tonight?
Conversations/Festival Lines/Caldarus/shooting_star/shooting_star_caldarus_statue/11	Of course, [Ari]. You must be tired after a long day.	Bien sûr, [Ari]. Cette longue journée a dû être fatigante pour toi.	Разумеется, [Ari]. Ты, наверное, <p>устали</p><f>устала</f><m>устал</m><n>устало</n> за этот долгий день.	Of course, [Ari]. You must be tired after a long day.
Conversations/Festival Lines/Caldarus/shooting_star/shooting_star_caldarus_statue/12	Sleep well.	Dors bien.	Выспись как следует.	Sleep well.
Conversations/Festival Lines/Caldarus/shooting_star/shooting_star_caldarus_statue/2	Would you like to watch them with... me?	Aimerais-tu les regarder avec... moi ?	Ты хочешь пригласить... меня?	Would you like to watch them with... me?
Conversations/Festival Lines/Caldarus/shooting_star/shooting_star_caldarus_statue/2/prompts/0	Yes! That's why I'm here!	Oui ! C'est pour ça que je suis là !	Да! За этим и <p>пришли</p><f>пришла</f><m>пришёл</m><n>пришло</n>!	Yes! That's why I'm here!
Conversations/Festival Lines/Caldarus/shooting_star/shooting_star_caldarus_statue/2/prompts/1	I think I'm actually going to head to bed.	Je crois que je vais plutôt aller me coucher.	Вообще-то я думаю, мне пора спать.	I think I'm actually going to head to bed.
Conversations/Festival Lines/Caldarus/shooting_star/shooting_star_caldarus_statue/3	I do not recall the last time I watched the stars with someone else...	Je ne me souviens pas à quand remonte la dernière fois que j'ai regardé les étoiles avec quelqu'un...	Даже не вспомню, когда в последний раз я с кем-то смотрел на звёзды...	I do not recall the last time I watched the stars with someone else...
Conversations/Festival Lines/Caldarus/shooting_star/shooting_star_caldarus_statue/4	You are very kind to think of me. Let us enjoy them for a moment, shall we?	C'est très gentil de ta part de penser à moi. Profitons de ce spectacle un moment, veux-tu ?	Ты очень <p>добры</p><f>добра</f><m>добр</m><n>добро</n>, что <p>подумали</p><f>подумала</f><m>подумал</m><n>подумало</n> обо мне. Давай полюбуемся чуть-чуть?	You are very kind to think of me. Let us enjoy them for a moment, shall we?
Conversations/Festival Lines/Caldarus/shooting_star/shooting_star_caldarus_statue/5	...	...	...	...
Conversations/Festival Lines/Caldarus/shooting_star/shooting_star_caldarus_statue/6	They are beautiful, are they not? How nostalgic.	Elles sont magnifiques, n'est-ce pas ? Quelle nostalgie.	Такие красивые, да? Навевают ностальгию.	They are beautiful, are they not? How nostalgic.
